4516;9576921;Uso di strumenti tecnici
6721;9576921;Capacit� analitiche
6721;9576921;Conoscenza lingue straniere
7035;9576921;Analisi e interpretazione dei dati
7035;9576921;Social Media Strategist
3969;14679881;Ragionamento analitico
3969;14679881;Team working
4226;14679881;Problem Solving
4226;14679881;Team working
6259;14679881;Uso di strumenti tecnici
7548;14679881;Project Management
7548;14679881;Uso di strumenti tecnici
8692;14679881;Capacit� analitiche
1663;166136881;Capacit� di scrittura
1663;166136881;Team working
7589;166136881;AI
7589;166136881;Cloud Computing
7862;166136881;Editing e Produzione di video
7862;166136881;Linguaggi di programmazione
1150;184631857;Uso di strumenti tecnici
4934;184631857;Capacit� analitiche
5048;184631857;Cloud Computing
5048;184631857;Team working
8167;184631857;Uso di strumenti tecnici
8925;184631857;Arte e Design Skills
8925;184631857;Editing e Produzione di video
9812;184631857;Analisi e interpretazione dei dati
9812;184631857;Ragionamento analitico
9812;184631857;Social Media Strategist
4934;279202323;Analisi e interpretazione dei dati
5002;279202323;Uso di strumenti tecnici
2176;297847621;UX Design
3482;297847621;Capacit� analitiche
4562;297847621;Uso di strumenti tecnici
4712;297847621;UX Design
4741;297847621;Project Management
4741;297847621;Uso di strumenti tecnici
4934;297847621;Project Management
6517;297847621;Contabilit�
6517;297847621;Leadership
6607;297847621;Contabilit�
6721;297847621;Conoscenza lingue straniere
6721;297847621;Team working
1250;338852729;AI
1250;338852729;Uso di strumenti tecnici
2214;338852729;Linguaggi di programmazione
3370;338852729;Project Management
3370;338852729;Social Media Strategist
5048;338852729;Team working
5263;338852729;Capacit� analitiche
5263;338852729;Project Management
6259;338852729;Uso di strumenti tecnici
7148;434655908;Leadership
7148;434655908;Team working
8135;454535646;Problem Solving
8135;454535646;Uso di strumenti tecnici
9723;454535646;Arte e Design Skills
1258;522394446;AI
1258;522394446;Problem Solving
1774;522394446;Arte e Design Skills
1774;522394446;Project Management
3482;522394446;Capacit� analitiche
4089;522394446;Leadership
4089;522394446;Social Media Strategist
4089;522394446;Team working
1049;555490782;Editing e Produzione di video
1150;555490782;Uso di strumenti tecnici
1153;555490782;Uso di strumenti tecnici
1224;555490782;Arte e Design Skills
1224;555490782;Linguaggi di programmazione
1278;555490782;Uso di strumenti tecnici
2173;555490782;Problem Solving
3185;555490782;Capacit� analitiche
3185;555490782;Capacit� di scrittura
3185;555490782;Contabilit�
3694;555490782;Contabilit�
4516;555490782;Uso di strumenti tecnici
4566;555490782;Analisi e interpretazione dei dati
4566;555490782;Ragionamento analitico
4574;555490782;Uso di strumenti tecnici
8476;555490782;Capacit� analitiche
8476;555490782;Gestione delle persone
1049;787163705;Editing e Produzione di video
1049;787163705;UX Design
1354;787163705;Gestione delle persone
1354;787163705;Leadership
3482;787163705;Ragionamento analitico
3694;787163705;Problem Solving
4566;787163705;Contabilit�
4574;787163705;Uso di strumenti tecnici
4712;787163705;Ragionamento analitico
6540;787163705;Analisi e interpretazione dei dati
6540;787163705;Social Media Strategist
8692;787163705;Capacit� analitiche
8925;787163705;UX Design
2173;875655474;Capacit� di scrittura
2173;875655474;Problem Solving
2176;875655474;Uso di strumenti tecnici
2176;875655474;UX Design
4911;875655474;Contabilit�
4911;875655474;Ragionamento analitico
4934;875655474;Ragionamento analitico
2214;956658851;AI
2214;956658851;Linguaggi di programmazione
2214;956658851;Mobile App
6607;956658851;Gestione delle persone
6607;956658851;Project Management
8239;956658851;Capacit� di scrittura
8239;956658851;Conoscenza lingue straniere
1333;975406154;Conoscenza lingue straniere
1333;975406154;Contabilit�
4712;975406154;Arte e Design Skills
7862;975406154;Leadership
7862;975406154;Linguaggi di programmazione
